src_ip,dst_ip,protocol,port,bytes,duration,label
192.168.1.52,10.0.0.18,-0.005495657779602205,0.8380905119138939,-0.02574396047198734,-0.4751786788671728,-0.5048391749320928
192.168.1.93,10.0.0.45,-1.2267529421356618,-0.5003664563320557,1.1762827828171385,1.6441077139337172,1.980828845413022
192.168.1.15,10.0.0.44,1.2157616265764573,-0.6405389863216682,-1.4868734681170566,-1.6960228182947534,-0.5048391749320928
192.168.1.72,10.0.0.27,-1.2267529421356618,-1.2248959553614804,-0.6983607311851859,1.5008904485057681,1.980828845413022
192.168.1.61,10.0.0.49,1.2157616265764573,0.879311580181432,0.1822385287542698,1.575803858164222,-0.5048391749320928
192.168.1.21,10.0.0.36,1.2157616265764573,0.2409858360841208,0.5218732333830062,-1.5459823783485607,-0.5048391749320928
192.168.1.83,10.0.0.23,1.2157616265764573,-0.08089376036239529,-1.0243400198546226,1.3496103633211882,1.980828845413022
192.168.1.87,10.0.0.32,1.2157616265764573,1.6084908575071948,0.016272704018165617,-0.09640874119641282,-0.5048391749320928
192.168.1.75,10.0.0.10,1.2157616265764573,-1.172546766002706,0.5670411477099206,0.9234636868160953,-0.5048391749320928
192.168.1.75,10.0.0.11,-1.2267529421356618,-1.5565453107003027,-0.21166770084091419,-1.4482767813027169,-0.5048391749320928
192.168.1.88,10.0.0.38,-1.2267529421356618,1.5874884881237343,0.3194929660887695,1.5762401993679274,-0.5048391749320928
192.168.1.24,10.0.0.6,-0.005495657779602205,-1.4210225590070285,0.23966130355747886,0.3758351711643959,1.980828845413022
192.168.1.3,10.0.0.41,1.2157616265764573,-1.6006398374655777,-1.3839326401161818,1.3811156530693538,1.980828845413022
192.168.1.22,10.0.0.47,-0.005495657779602205,1.5446478341574719,-1.5912148516009363,0.6017015016573485,-0.5048391749320928
192.168.1.53,10.0.0.34,-1.2267529421356618,1.4697811791164304,-1.6479373486626427,0.1315874238892368,-0.5048391749320928
192.168.1.2,10.0.0.36,-0.005495657779602205,-0.8043261206926839,1.0565352890202027,-1.1263332841499465,-0.5048391749320928
192.168.1.88,10.0.0.37,-1.2267529421356618,-1.2001842122809412,-0.8877858602616255,-1.107486134115994,-0.5048391749320928
192.168.1.30,10.0.0.17,1.2157616265764573,-0.013811565615223296,-0.3828856086382875,-0.09022313976127234,-0.5048391749320928
192.168.1.38,10.0.0.40,-0.005495657779602205,0.11638222668224758,0.4598986532600306,1.2835656641681528,-0.5048391749320928
192.168.1.2,10.0.0.40,-0.005495657779602205,-0.5769049417717808,1.0463812617684156,-1.3241017254280185,-0.5048391749320928
192.168.1.64,10.0.0.12,-0.005495657779602205,1.6881640249444512,1.6972894224950352,1.7253323729628196,1.980828845413022
192.168.1.60,10.0.0.21,-0.005495657779602205,1.6314785254890918,1.2865765271037901,1.3024528498258134,-0.5048391749320928
